id,name,country,mechanic,govt_take_pct_at_75,contractor_npv_musd_at_75,irr_pct_at_75,breakeven_usd
1,Oyo Field,Nigeria,Production or Profit Sharing Agreement,49.94,1287.8,91.5,-1.0
2,OPL 245,Nigeria,Production or Profit Sharing Agreement,49.94,1287.8,91.5,-1.0
3,"OML 4, OML 38, OML 41",Nigeria,Production or Profit Sharing Agreement,49.94,1287.8,91.5,-1.0
5,OPL 245,Nigeria,Exploitation Permit/License,49.94,1287.8,91.5,-1.0
7,OML 30,Nigeria,Production or Profit Sharing Agreement,49.94,1287.8,91.5,-1.0
8,OML 14,Nigeria,Other,49.94,1287.8,91.5,-1.0
9,Block 905 Anambra Basin,Nigeria,Production or Profit Sharing Agreement,49.94,1287.8,91.5,-1.0
10,Deep Water,Angola,Concession Agreement,52.55,1644.3,133.7,-1.0
11,Block 5/06,Angola,Production or Profit Sharing Agreement,44.27,2443.1,999.0,-1.0
12,Offshore,Angola,Production or Profit Sharing Agreement,56.5,1335.2,135.9,-1.0
13,"Model Contract, Sociedade Nacional De Combustiveis De Angola Empresa Publica  (S",Angola,Production or Profit Sharing Agreement,56.5,1335.2,135.9,-1.0
14,Block 9/09,Angola,Service Contract,62.87,809.6,96.7,-1.0
15,Deep Water Blocks,Angola,Concession Agreement,52.55,1644.3,133.7,-1.0
16,Onshore,Angola,Concession Agreement,52.55,1644.3,133.7,-1.0
17,Block 21/09,Angola,Service Contract,62.87,809.6,96.7,-1.0
19,"Production Sharing Contract between Sociedade Nacional de Combustiveis de Angola Empresa Publica - (Sonangol, E.P.) and ",Angola,Production or Profit Sharing Agreement,56.5,1335.2,135.9,-1.0
21,Libra/Mero Block (Santos Basin pre-salt),Brazil,Production Sharing Contract,58.08,1766.5,,-1.0
22,"Búzios Field (Santos Basin pre-salt, ToR)",Brazil,Transfer of Rights / PSC Hybrid,69.46,2302.0,,-1.0
23,Mahakam Block (East Kalimantan),Indonesia,Cost Recovery PSC,42.01,1973.0,170.8,-1.0
24,Offshore North West Java (ONWJ),Indonesia,Gross Split PSC,65.72,-116.1,3.5,79.8
25,"Block K (Kikeh deepwater field, Sabah)",Malaysia,Deepwater R/C PSC,68.52,693.5,223.4,-1.0
26,"Blocks M5/M6 (Yadana gas field, Andaman Sea)",Myanmar,PSC,60.29,1070.5,460.7,-1.0
27,PNG LNG Project PDL 1/7/8/9 (Hides/Angore/Juha/Kutubu),Papua New Guinea,Petroleum Development License + Gas Agreement,34.84,2257.7,,-1.0
28,Cape Three Points South,Ghana,Concession Agreement,29.73,2990.9,270.6,-1.0
29,"North, South and West Tano Fields",Ghana,Concession Agreement,29.73,2990.9,270.6,-1.0
30,Offshore Cape Three Points Basin,Ghana,Concession Agreement,29.73,2990.9,270.6,-1.0
